name,date_x,score,genre,overview,orig_title,orig_lang,budget_x,country
Sayen,03/03/2023,62.0,"Thriller,Action","Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature,she is able to turn the tables on them,learning of a conspiracy from a corporation that threatens her people's ancestral lands.",Sayen," Spanish,Castilian",73800000.0,CL
Die Hart,02/24/2023,62.0,"Action,Comedy,Thriller","Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta,Nathalie Emmanuel,and Josh Hartnett - he just might pull it off.",Die Hart,English,113000000.0,US
13 Exorcisms,11/04/2022,55.0,"Drama,Horror","After participating in a séance,young Laura begins to behave strangely. Alarmed,her parents ask Father Olmedo,one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession,for help.",13 exorcismos," Spanish,Castilian",2480000.0,ES
H.P. Lovecraft's Witch House,06/29/2022,60.0,Horror,"Determined to prove the possibility of alternate dimensions,a graduate student unknowingly unlocks a gateway to unimaginable horror. Based on the H.P. Lovecraft's short story The Dreams in the Witch House.",H.P. Lovecraft's Witch House,English,146740000.0,US
John Wick: Chapter 2,05/18/2017,73.0,"Action,Thriller,Crime","John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him,Wick travels to Rome and does battle against some of the world’s most dangerous killers.",John Wick: Chapter 2,English,40000000.0,AU
Sick,09/24/2022,63.0,"Horror,Thriller","In the midst of the pandemic,college student Parker and her best friend Miri decide to self-quarantine at her family's lake house,where they will be alone — or so they think.",Sick,English,81800000.0,US
Black Warrant,03/01/2023,54.0,"Action,Thriller","A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.",Black Warrant,English,116000000.0,AU
Shotgun Wedding,01/26/2023,63.0,"Action,Comedy,Romance","Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage,“’Til Death Do Us Part” takes on a whole new meaning in this hilarious,adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.",Shotgun Wedding,English,16050000.0,AU
John Wick: Chapter 3 - Parabellum,05/16/2019,74.0,"Action,Thriller,Crime","Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild,the High Table,John Wick is excommunicado,but the world’s most ruthless hit men and women await his every turn.",John Wick: Chapter 3 - Parabellum,English,55000000.0,AU
Legion of Super-Heroes,02/07/2023,63.0,"Animation,Action,Science Fiction","Kara,devastated by the loss of Krypton,struggles to adjust to her new life on Earth. Her cousin,Superman,mentors her and suggests she leave their space-time to attend the Legion Academy in the 31st century,where she makes new friends and a new enemy: Brainiac 5. Meanwhile,she must contend with a mysterious group called the Dark Circle as it searches for a powerful weapon held in the Academy’s vault.",Legion of Super-Heroes,English,113400000.0,US
Fall,09/22/2022,73.0,"Thriller,Drama","For best friends Becky and Hunter,life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote,abandoned radio tower,they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements,a lack of supplies,and vertigo-inducing heights",Fall,English,3000000.0,AU
Lord of the Streets,04/22/2022,52.0,Action,"When Jason Dyson refuses to make his prized fighter throw an MMA match,a notorious gangster collects his debt by killing the fighter and kidnapping Jason's daughter. Now he must train a prisoner to endure five consecutive underground fights to save her.",Lord of the Streets,English,1000000.0,US
Little Dixie,02/03/2023,60.0,"Thriller,Action,Drama,Crime","Erstwhile Special Forces operative Doc Alexander is asked to broker a truce with the Mexican drug cartel in secrecy. When Oklahoma Governor Richard Jeffs celebrates the execution of a high-ranking cartel member on TV,his Chief of Staff and Doc inform him about the peace he just ended. But it’s too late,as Cuco,the cartel’s hatchet man,has set his vengeful sights on Doc’s daughter Dixie.",Little Dixie,English,141340000.0,US
The Whale,02/02/2023,81.0,Drama,"A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.",The Whale,English,3000000.0,AU
Prey for the Devil,10/28/2022,71.0,"Horror,Thriller","In response to a global rise in demonic possessions,the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield,an unlikely warrior rises: a young nun,Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante,Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",Prey for the Devil,English,27240304.0,US
Bandit,09/23/2022,62.0,"Crime,Drama,Thriller","After escaping a Michigan prison,a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the story of The Flying Bandit.",Bandit,English,115000000.0,US
Roald Dahl's Matilda the Musical,12/08/2022,68.0,"Family,Comedy,Fantasy","An extraordinary young girl discovers her superpower and summons the remarkable courage,against all odds,to help others change their stories,whilst also taking charge of her own destiny. Standing up for what's right,she's met with miraculous results.",Roald Dahl's Matilda the Musical,English,25000000.0,AU
The Simpsons Meet the Bocellis in Feliz Navidad,12/15/2022,52.0,"Animation,Family,Comedy","This Christmas,Homer surprises Marge with the ultimate gift: an unforgettable performance from Italian opera superstar Andrea Bocelli and his children Matteo and Virginia.",The Simpsons Meet the Bocellis in Feliz Navidad,English,97200000.0,US
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,02/25/2021,83.0,"Animation,Action,Adventure,Fantasy,Thriller","Tanjiro Kamado,joined with Inosuke Hashibira,a boy raised by boars who wears a boar's head,and Zenitsu Agatsuma,a scared boy who reveals his true power when he sleeps,boards the Infinity Train on a new mission with the Fire Hashira,Kyojuro Rengoku,to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",劇場版「鬼滅の刃」無限列車編,Japanese,15800000.0,AU
Huesera: The Bone Woman,02/23/2023,58.0,"Drama,Horror,Mystery","Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in,she's forced deeper into a chilling world of dark magic that threatens to consume her.",Huesera," Spanish,Castilian",135000000.0,MX
The Last Heretic,11/09/2022,55.0,"Thriller,Horror","Juan Conte is a world-renowned spokesman of the new atheism. After suffering a heart attack,he receives a transplant and a change in his personal life begins,opening up to the possibility of being in a couple for the first time. Juan will go on a journey of horror and pain,in which his vision of reality will be put to the test.",El último hereje," Spanish,Castilian",122400000.0,AR
JUNG_E,01/20/2023,63.0,"Science Fiction,Action,Adventure","On an uninhabitable 22nd-century Earth,the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.",정이,Korean,66240000.0,KR
A Man Called Otto,01/01/2023,79.0,"Comedy,Drama","When a lively young family moves in next door,grumpy widower Otto Anderson meets his match in a quick-witted,pregnant woman named Marisol,leading to an unlikely friendship that turns his world upside down.",A Man Called Otto,English,50000000.0,AU
Champions,03/09/2023,68.0,Comedy,"A stubborn and hotheaded minor league basketball coach is forced to train a Special Olympics team when he is sentenced to community service.",Champions,English,51880004.0,AU
Dungeons & Dragons: Honor Among Thieves,03/30/2023,76.0,"Adventure,Fantasy,Comedy","A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic,but things go dangerously awry when they run afoul of the wrong people.",Dungeons & Dragons: Honor Among Thieves,English,150000000.0,AU
Troll,12/01/2022,68.0,"Fantasy,Action,Adventure,Thriller","Deep inside the mountain of Dovre,something gigantic awakens after being trapped for a thousand years. Destroying everything in its path,the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?",Troll,Norwegian,121400000.0,AU
Sonic the Hedgehog 2,03/31/2022,76.0,"Action,Adventure,Family,Comedy","After settling in Green Hills,Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns,this time with a new partner,Knuckles,in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick,Tails,and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",Sonic the Hedgehog 2,English,90000000.0,AU
